"","Province/State","Country/Region","date","CumConfirmed","CumDeaths","CumRecovered"
"1017","Himachal Pradesh","India",2020-02-28,0,0,0
"1018","Himachal Pradesh","India",2020-02-29,0,0,0
"1019","Himachal Pradesh","India",2020-03-01,0,0,0
"1020","Himachal Pradesh","India",2020-03-02,0,0,0
"1021","Himachal Pradesh","India",2020-03-03,0,0,0
"1022","Himachal Pradesh","India",2020-03-04,0,0,0
"1023","Himachal Pradesh","India",2020-03-05,0,0,0
"1024","Himachal Pradesh","India",2020-03-06,0,0,0
"1025","Himachal Pradesh","India",2020-03-07,0,0,0
"1026","Himachal Pradesh","India",2020-03-08,0,0,0
"1027","Himachal Pradesh","India",2020-03-09,0,0,0
"1028","Himachal Pradesh","India",2020-03-10,0,0,0
"1029","Himachal Pradesh","India",2020-03-11,0,0,0
"1030","Himachal Pradesh","India",2020-03-12,0,0,0
"1031","Himachal Pradesh","India",2020-03-13,0,0,0
"1032","Himachal Pradesh","India",2020-03-14,0,0,0
"1033","Himachal Pradesh","India",2020-03-15,0,0,0
"1034","Himachal Pradesh","India",2020-03-16,0,0,0
"1035","Himachal Pradesh","India",2020-03-17,0,0,0
"1036","Himachal Pradesh","India",2020-03-18,0,0,0
"1037","Himachal Pradesh","India",2020-03-19,0,0,0
"1038","Himachal Pradesh","India",2020-03-20,0,0,0
"1039","Himachal Pradesh","India",2020-03-21,2,0,0
"1040","Himachal Pradesh","India",2020-03-22,2,0,0
"1041","Himachal Pradesh","India",2020-03-23,3,0,1
"1042","Himachal Pradesh","India",2020-03-24,3,0,1
"1043","Himachal Pradesh","India",2020-03-25,3,0,1
"1044","Himachal Pradesh","India",2020-03-26,3,0,1
"1045","Himachal Pradesh","India",2020-03-27,3,0,1
"1046","Himachal Pradesh","India",2020-03-28,3,0,1
"1047","Himachal Pradesh","India",2020-03-29,3,0,1
"1048","Himachal Pradesh","India",2020-03-30,3,0,1
"1049","Himachal Pradesh","India",2020-03-31,3,0,1
"1050","Himachal Pradesh","India",2020-04-01,3,0,1
"1051","Himachal Pradesh","India",2020-04-02,3,1,1
"1052","Himachal Pradesh","India",2020-04-03,6,1,1
