"ID","role_attended_before"
"185","Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker"
"186",NA
"187","Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker"
"188","Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee"
"189","Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter"
"19",NA
"190","Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker"
"191",NA
"192",NA
"193",NA
"194","Poster presenter; Invited speaker; Poster presenter; Invited speaker"
"195",NA
"196",NA
"197","Poster presenter; Poster presenter; Poster presenter"
"2","Poster presenter"
"20","Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Administrative duties; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Administrative duties; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Administrative duties; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Administrative duties"
"21","Poster presenter; Poster presenter"
"22",NA
"23","Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee"
"24","Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Administrative duties"
"25","Attendee; Attendee; Attendee; Other; Other; Other"
"26",NA
"27","Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter"
"28","Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker"
"29","Poster presenter; Poster presenter; Poster presenter"
"3","Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker"
"30",NA
"31","Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker"
"32",NA
"33","Attendee; Invited speaker; Administrative duties; Attendee; Invited speaker; Administrative duties; Attendee; Invited speaker; Administrative duties; Attendee; Invited speaker; Administrative duties"
"34","Poster presenter; Invited speaker; Poster presenter; Invited speaker; Poster presenter; Invited speaker; Poster presenter; Invited speaker"
"35","Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker"
"36","Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker"
"37","Attendee; Attendee; Other; Other"
"38",NA
"39","Invited speaker; Invited speaker"
"4","Attendee; Invited speaker"
"40",NA
"41","Attendee; Poster presenter; Attendee; Poster presenter; Attendee; Poster presenter; Attendee; Poster presenter"
"42",NA
"43","Attendee; Poster presenter"
"44","Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other"
"45",NA
"46","Attendee; Attendee; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker"
"47","Attendee; Attendee; Attendee; Attendee"
"48","Invited speaker; Invited speaker; Invited speaker; Invited speaker"
"49",NA
"5",NA
"50","Attendee; Attendee"
"51","Attendee; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Poster presenter"
"52","Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker"
"53",NA
"54","Attendee; Attendee"
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"6","Attendee"
"60",NA
"61",NA
"62","Invited speaker; Invited speaker"
"63","Attendee; Attendee; Administrative duties; Administrative duties; Attendee; Attendee; Administrative duties; Administrative duties"
"64",NA
"65","Attendee; Attendee; Attendee; Attendee"
"66",NA
"67",NA
"68","Attendee; Attendee"
"69",NA
"7","Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter"
"70","Attendee; Poster presenter"
"71",NA
"72",NA
"73","Attendee; Other"
"74","Poster presenter; Poster presenter; Poster presenter; Poster presenter; Other; Other; Other; Other; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Other; Other; Other; Other"
"75",NA
"76",NA
"77",NA
"78",NA
"79","Poster presenter; Poster presenter; Invited speaker; Invited speaker; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Poster presenter; Poster presenter; Invited speaker; Invited speaker"
"8",NA
"80",NA
"81",NA
"82","Poster presenter; Poster presenter; Poster presenter"
"83",NA
"84","Attendee; Attendee; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Attendee; Attendee; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Attendee; Attendee; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Attendee; Attendee; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Administrative duties; Administrative duties"
"85",NA
"86","Attendee; Invited speaker; Attendee; Invited speaker; Attendee; Invited speaker"
"87","Attendee; Invited speaker; Attendee; Invited speaker; Attendee; Invited speaker; Attendee; Invited speaker; Attendee; Invited speaker; Attendee; Invited speaker"
"88",NA
"89",NA
"9",NA
"90","Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker"
"91",NA
"92",NA
"93","Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Other; Other; Other"
"94","Attendee; Attendee; Plenary speaker; Plenary speaker"
"95",NA
"96",NA
"97","Invited speaker"
"98",NA
"99",NA
